ActorExists;0x8026DE5C
status_menu_start_blinking_starpoints;0x800E9AE4
status_menu_stop_blinking_coins;0x800E9A38
status_menu_stop_blinking_fp;0x800E99D0
status_menu_stop_blinking_hp;0x800E9964
status_menu_stop_blinking_sp;0x800E9A94
status_menu_stop_blinking_starpoints;0x800E9B0C
step_battle;0x800338E4
step_current_game_mode;0x80112E78
step_game_loop;0x80026740
step_init_state;0x80033568
step_intro;0x80036854
step_logos;0x800340A4
step_pause_menu;0x8003497C
step_title_screen;0x800370B4
step_world;0x80035D54
stop_sound;0x80149C6C
store_item;0x800E77C4
strchr;0x80064A10
strcmp;0x8006ED70
strcpy;0x8006ED40
strlen;0x80064A50
stub_dynamic_entity_delegate;0x801230B0
subtract_fortress_keys;0x800EA3B8
subtract_hp;0x800EA334
suspend_all_group;0x802C45E8
suspend_all_script;0x802C4420
suspend_group_others;0x802C46A8
suspend_group_script;0x802C42D8
suspend_group_script_index;0x802C44F8
switch_order;0x80243918
switch_to_partner;0x80242F00
switch_to_player;0x80242AC8
sync_status_menu;0x800E9B6C
test_below_player;0x800DDFD0
test_down_ray_triangle;0x8005C49C
test_item_player_collision;0x80133B0C
test_player_entity_aabb;0x80110AAC
test_player_lateral;0x800DF460
test_ray_colliders;0x8005CCD0
test_ray_entities;0x8005D448
test_ray_triangle_general;0x8005BE84
test_ray_zone_aabb;0x80030458
test_ray_zones;0x8005D124
test_up_ray_collider;0x8005D2DC
test_up_ray_triangle;0x8005C7A4
trace_above_player;0x800DEA08
trace_below_player;0x800DE54C
transform_point;0x80029620
try_inflict_status;0x80266B78
unfreeze_cam;0x8024E600
update_actor_shadow;0x802559BC
update_actor_shadows;0x8023E404
update_battle_state;0x8023E438
update_cameras;0x8002D400
update_coin_counter;0x800E93DC
update_collider_transform;0x8005BA24
update_component;0x802DD11C
update_curtains;0x8002BA78
update_dynamic_entities;0x80123404
update_end_player_turn;0x80242BB0
update_enemy_action;0x80247570
update_enemy_change_turn;0x802472AC
update_enemy_shadows;0x80255F5C
update_entities;0x8010F6D0
update_entity_inverse_rotation_matrix;0x801104A4
update_entity_transform_matrix;0x8011022C
update_fall_state;0x800E2D18
update_hero_shadows;0x80255FAC
update_heroes_start_turn;0x80242024
update_input;0x80028874
update_item_entities;0x80131EEC
update_item_entity_collectable;0x80134250
update_item_entity_static;0x80135658
update_item_entity_temp;0x801356DC
update_lerp;0x8002A3B4
update_lerp_battle;0x8027B0DC
update_locomotion_state;0x800E5F68
update_menu_icons;0x80141610
update_messages;0x801237D8
update_npc_blur;0x8003ADF8
update_npcs;0x80039930
update_partner_action;0x80246B34
update_partner_menu;0x802A81C8
update_player;0x800DF740
update_player_action;0x80245AD0
update_player_actor_shadow;0x80257BAC
update_player_change_turn;0x80246450
update_player_input;0x800E1F90
update_player_menu;0x802A5988
update_player_move_history;0x800ED4B8
update_player_shadow;0x800E1BC4
update_run_away;0x80244F00
update_scripts;0x802C3D74
update_shadow_transform_matrix;0x80110374
update_shadows;0x8010FA98
update_starpoints_display;0x802403BC
update_status_menu;0x800E80B4
update_swap_partner;0x802456F8
update_targeting_enemies;0x802AA688
update_triggers;0x80145860
use_cam_preset;0x8024CF34
use_consumable;0x800EA400
viMgrMain;0x80066C10
ActorAddMovePos;0x80280880
PlayerScriptDispatcher;0x80284EBC
PeachScriptDispatcher;0x80285010
ExecutePlayerAction;0x8028505C
ExecutePeachAction;0x80285174
HandleEvent_Player;0x802852D4
SetForegroundModelsVisibleUnsafe;0x80253AA8
JumpToGoalSimple2;0x80279420
LandJumpPart;0x8027AB5C
_advance_rng;0x80029900
fio_has_valid_backup;0x8002AFD8
fio_flush_backups;0x8002B04C
COPY_set_defeated;0x8003E2E0
GetCamLookAtObjVector;0x8003F398
draw_submenu_title;0x800F4648
AssignScript;0x80111FB0
draw_menu_icon;0x80144298
bind_trigger;0x802C4220
bind_trigger_1;0x802C42A8
draw_anim_models;0x802CCB18
SetAnimModelPosition;0x802CCFE4
GetAnimModelPosition;0x802CD090
AddAnimModelPosition;0x802CD12C
SetAnimModelRotation;0x802CD1F0
SetAnimModelScale;0x802CD29C
NpcSetHomePosToCurrent;0x802CF3BC
!func_8002D160;0x8002D160
!func_8002C890;0x8002C890
func_802A91F8;0x802A91F8
func_802A9208;0x802A9208
func_802A9228;0x802A9228
func_802A9234;0x802A9234
func_802A9254;0x802A9254
func_802A9278;0x802A9278
func_802A928C;0x802A928C
func_802A9294;0x802A9294
func_802A9298;0x802A9298
func_802A92A0;0x802A92A0
func_802A92D4;0x802A92D4
func_802A92DC;0x802A92DC
func_802A92F0;0x802A92F0
func_802A9310;0x802A9310
func_802A936C;0x802A936C
func_802A9378;0x802A9378
func_802A948C;0x802A948C
func_802A94A4;0x802A94A4
func_802A94D8;0x802A94D8
func_802A9544;0x802A9544
func_802A955C;0x802A955C
func_802A9590;0x802A9590
func_802A959C;0x802A959C
func_802A9634;0x802A9634
func_802A963C;0x802A963C
func_802A9664;0x802A9664
func_802A96B8;0x802A96B8
func_802A96DC;0x802A96DC
func_802A96EC;0x802A96EC
func_802A96F4;0x802A96F4
func_802A9708;0x802A9708
func_802A9718;0x802A9718
func_802A9720;0x802A9720
func_802A973C;0x802A973C
func_802A9744;0x802A9744
func_802A9764;0x802A9764
func_802A97AC;0x802A97AC
func_802A97BC;0x802A97BC
func_802A97CC;0x802A97CC
func_802A97F8;0x802A97F8
func_802A97FC;0x802A97FC
func_802A9810;0x802A9810
func_802A981C;0x802A981C
func_802A9834;0x802A9834
func_802A984C;0x802A984C
func_802A9894;0x802A9894
func_802A9898;0x802A9898
func_802A98B0;0x802A98B0
func_802A98D0;0x802A98D0
func_802A98DC;0x802A98DC
func_802A98E0;0x802A98E0
func_802A9914;0x802A9914
func_802A992C;0x802A992C
func_802A9990;0x802A9990
func_802A99D4;0x802A99D4
func_802A9A30;0x802A9A30
func_802A9A54;0x802A9A54
func_802AA014;0x802AA014
func_802AA0D8;0x802AA0D8
func_802AB330;0x802AB330
func_802AB338;0x802AB338
func_802B71D4;0x802B71D4
func_802B71E8;0x802B71E8
func_802BD7DC;0x802BD7DC
func_802BE070;0x802BE070
!func_8006AA34;0x8006AA34
SetTattleString;0x80045A58
!osEnqueueAndYield;0x8006B06C
!osPopThread;0x8006B1BC
!osDispatchThread;0x8006B1D4
!osEnqueueThread;0x8006B174
!send_mesg;0x8006AF7C
!handle_CPU;0x8006B038
gPauseMenuStrings;0x8026F778
gEffectTable;0x8007F214
gMoveScriptTable;0x80293E80
gStaticScriptCounter;0x802D9CA0
D_80156954;0x80156954
D_802D9CA4;0x802D9CA4
gGlobalTimeSpace;0x802D9CA8
gBattleState;0x800DC068
gBattleDmaDest;0x80284000
gDialogueState;0x8029FA60
gSpeakingActorPrintCtx;0x8029FA60
gSpeakingActorPrintIsDone;0x8029FA68
gSpeakingActorTalkAnim;0x8029FA6C
gSpeakingActorIdleAnim;0x8029FA70
gSpeakingActor;0x8029FA74
gSpeakingActorPart;0x8029FA7C
